"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"Saudi Arabia","Electricity - total wind production","2018","Kilowatt-hours, million","3.555","1"
"Serbia","Electricity - total wind production","2018","Kilowatt-hours, million","150",""
"Seychelles","Electricity - total wind production","2018","Kilowatt-hours, million","7.4",""
"Slovakia","Electricity - total wind production","2018","Kilowatt-hours, million","6",""
"Slovenia","Electricity - total wind production","2018","Kilowatt-hours, million","6",""
"South Africa","Electricity - total wind production","2018","Kilowatt-hours, million","6467",""
"Spain","Electricity - total wind production","2018","Kilowatt-hours, million","50896",""
"Sri Lanka","Electricity - total wind production","2018","Kilowatt-hours, million","326.333",""
"St. Helena and Depend.","Electricity - total wind production","2018","Kilowatt-hours, million","2.503",""
"St. Kitts-Nevis","Electricity - total wind production","2018","Kilowatt-hours, million","8","1"
"Sweden","Electricity - total wind production","2018","Kilowatt-hours, million","16623",""
"Switzerland","Electricity - total wind production","2018","Kilowatt-hours, million","122",""
"Thailand","Electricity - total wind production","2018","Kilowatt-hours, million","1641",""
"Tonga","Electricity - total wind production","2018","Kilowatt-hours, million","0.022",""
"Tunisia","Electricity - total wind production","2018","Kilowatt-hours, million","453",""
"Turkey","Electricity - total wind production","2018","Kilowatt-hours, million","19949",""
"Ukraine","Electricity - total wind production","2018","Kilowatt-hours, million","1188",""
"United Kingdom","Electricity - total wind production","2018","Kilowatt-hours, million","56904",""
"United States","Electricity - total wind production","2018","Kilowatt-hours, million","275834",""
"Uruguay","Electricity - total wind production","2018","Kilowatt-hours, million","4732.2",""
"Vanuatu","Electricity - total wind production","2018","Kilowatt-hours, million","4.77",""
"Venezuela (Bolivar. Rep.)","Electricity - total wind production","2018","Kilowatt-hours, million","71",""
"Viet Nam","Electricity - total wind production","2018","Kilowatt-hours, million","317",""

"fnSeqID","Footnote"
"1","Estimate"
